version,package,table,visibility,page_hint
v5.0,SETTLEMENT_DATA,SETLOCALAREAENERGY,,82
v5.0,SETTLEMENT_DATA,SETLOCALAREATNI,,84
v5.0,SETTLEMENT_DATA,SETMARKETFEES,,85
v5.0,STPASA_SOLUTION,STPASA_CONSTRAINTSOLUTION,,89
v5.0,STPASA_SOLUTION,STPASA_INTERCONNECTORSOLN,,91
v5.0,TRADING_DATA,AVERAGEPRICE30,,95
v5.1,BIDS,BIDOFFERFILETRK,,10
v5.1,BILLING_RUN,BILLINGREGIONFIGURES,,20
v5.1,BILLING_RUN,BILLING_SUBST_DEMAND,,14
v5.1,BILLING_RUN,BILLING_SUBST_RUN_VERSION,,16
v5.1,BILLING_RUN,BILLING_WDR,,17
v5.1,BILLING_RUN,BILLING_WDR_DETAIL,,18
v5.1,DEMAND_FORECASTS,DEMANDOPERATIONALACTUAL,,24
v5.1,DEMAND_FORECASTS,INTERMITTENT_CLUSTER_AVAIL,,26
v5.1,DEMAND_FORECASTS,MTPASA_INTERMITTENT_AVAIL,,28
v5.1,DISPATCH,DISPATCHLOAD,,32
v5.1,DISPATCH,DISPATCHREGIONSUM,,37
v5.1,METER_DATA,METERDATA_WDR_READS,,47
v5.1,MTPASA,MTPASA_DUIDAVAILABILITY,,51
v5.1,MTPASA,MTPASA_REGIONAVAILABILITY,,53
v5.1,NETWORK,NETWORK_EQUIPMENTDETAIL,,131
v5.1,NETWORK,NETWORK_OUTAGEDETAIL,,133
v5.1,NETWORK,NETWORK_SUBSTATIONDETAIL,,136
v5.1,P5MIN,P5MIN_REGIONSOLUTION,,57
v5.1,P5MIN,P5MIN_UNITSOLUTION,,64
v5.1,PARTICIPANT_REGISTRATION,DUDETAIL,,69
v5.1,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,,72
v5.1,PARTICIPANT_REGISTRATION,GENUNITS,,75
v5.1,PARTICIPANT_REGISTRATION,GENUNITS_UNIT,,77
v5.1,PARTICIPANT_REGISTRATION,PMS_GROUP,,79
v5.1,PARTICIPANT_REGISTRATION,PMS_GROUPNMI,,80
v5.1,PARTICIPANT_REGISTRATION,PMS_GROUPSERVICE,,82
v5.1,PDPASA,PDPASA_REGIONSOLUTION,,124
v5.1,PRE_DISPATCH,PREDISPATCHREGIONSUM,,88
v5.1,SETTLEMENT_CONFIG,SETCFG_WDRRR_CALENDAR,,100
v5.1,SETTLEMENT_CONFIG,SETCFG_WDR_REIMBURSE_RATE,,98
v5.1,SETTLEMENT_DATA,SET_FCAS_REGULATION_TRK,,103
v5.1,SETTLEMENT_DATA,SET_RECOVERY_ENERGY,,105
v5.1,SETTLEMENT_DATA,SET_SUBSTITUTE_DEMAND,,108
v5.1,SETTLEMENT_DATA,SET_SUBST_RUN_VERSION,,107
v5.1,SETTLEMENT_DATA,SET_WDR_RECON_DETAIL,,110
v5.1,SETTLEMENT_DATA,SET_WDR_TRANSACT,,113
v5.1,STPASA_SOLUTION,STPASA_REGIONSOLUTION,,117
v5.2,BIDS,MTPASA_OFFERDATA,,10
v5.2,BILLING_RUN,BILLINGASPAYMENTS,,23
v5.2,BILLING_RUN,BILLINGASRECOVERY,,26
v5.2,BILLING_RUN,BILLINGCPDATA,,30
v5.2,BILLING_RUN,BILLING_DIR_FINAL_AMOUNT,,14
v5.2,BILLING_RUN,BILLING_DIR_FINAL_RECOVERY,,16
v5.2,BILLING_RUN,BILLING_DIR_PROV_AMOUNT,,17
v5.2,BILLING_RUN,BILLING_DIR_PROV_RECOVERY,,18
v5.2,BILLING_RUN,BILLING_DIR_RECOVERY_DETAIL,,19
v5.2,BILLING_RUN,BILLING_ENERGY_TRAN_SAPS,,21
v5.2,BILLING_RUN,BILLRESERVETRADERRECOVERY,,33
v5.2,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_DATA,,37
v5.2,DEMAND_FORECASTS,INTERMITTENT_GEN_SCADA,,39
v5.2,DISPATCH,DISPATCHLOAD,,45
v5.2,DISPATCH,DISPATCHPRICE,,50
v5.2,DISPATCH,DISPATCHREGIONSUM,,55
v5.2,DISPATCH,DISPATCH_UNIT_CONFORMANCE,,42
v5.2,FORCE_MAJEURE,APEVENTREGION,,65
v5.2,FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,,67
v5.2,METER_DATA,METERDATA_SAPS,,71
v5.2,MTPASA,MTPASA_DUIDAVAILABILITY,,75
v5.2,P5MIN,P5MIN_FCAS_REQUIREMENT,,79
v5.2,P5MIN,P5MIN_REGIONSOLUTION,,81
v5.2,P5MIN,P5MIN_UNITSOLUTION,,89
v5.2,PARTICIPANT_REGISTRATION,ADG_DETAIL,,95
v5.2,PARTICIPANT_REGISTRATION,AGGREGATE_DISPATCH_GROUP,,96
v5.2,PARTICIPANT_REGISTRATION,DUDETAIL,,97
v5.2,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,,100
v5.2,PDPASA,PDPASA_REGIONSOLUTION,,153
v5.2,PRE_DISPATCH,PREDISPATCHLOAD,,107
v5.2,PRE_DISPATCH,PREDISPATCHPRICE,,112
v5.2,PRE_DISPATCH,PREDISPATCHREGIONSUM,,115
v5.2,SETTLEMENT_CONFIG,SETCFG_SAPS_SETT_PRICE,,126
v5.2,SETTLEMENT_DATA,SETCPDATA,,136
v5.2,SETTLEMENT_DATA,SET_ENERGY_TRAN_SAPS,,129
v5.2,SETTLEMENT_DATA,SET_FCAS_PAYMENT,,131
v5.2,SETTLEMENT_DATA,SET_FCAS_RECOVERY,,133
v5.2,STPASA_SOLUTION,STPASA_REGIONSOLUTION,,141
v5.2,TRADING_DATA,TRADINGPRICE,,148
v5.2,VOLTAGE_INSTRUCTIONS,VOLTAGE_INSTRUCTION,,161
v5.3,BIDS,BIDDAYOFFER,,10
v5.3,BIDS,BIDDAYOFFER_D,,14
v5.3,BIDS,BIDOFFERPERIOD,,17
v5.3,BIDS,BIDPEROFFER_D,,20
v5.3,BILLING_RUN,BILLINGASRECOVERY,,46
v5.3,BILLING_RUN,BILLING_APC_RECOVERY,,27
v5.3,BILLING_RUN,BILLING_DAILY_ENERGY_SUMMARY,,30
v5.3,BILLING_RUN,BILLING_DIRECTION_RECON_OTHER,,33
v5.3,BILLING_RUN,BILLING_ENERGY_GENSET_DETAIL,,36
v5.3,BILLING_RUN,BILLING_ENERGY_TRANSACTIONS,,39
v5.3,BILLING_RUN,BILLING_NMAS_TST_RECOVERY,,42
v5.3,BILLING_RUN,BILLRESERVETRADERRECOVERY,,57
v5.3,DISPATCH,DISPATCHLOAD,,61
v5.3,DISPATCH,DISPATCHREGIONSUM,,68
v5.3,MARKET_CONFIG,FCAS_REGU_USAGE_FACTORS,,82
v5.3,MARKET_CONFIG,FCAS_REGU_USAGE_FACTORS_TRK,,84
v5.3,MARKET_CONFIG,TRANSMISSIONLOSSFACTOR,,85
v5.3,P5MIN,P5MIN_REGIONSOLUTION,,89
v5.3,P5MIN,P5MIN_UNITSOLUTION,,100
v5.3,PARTICIPANT_REGISTRATION,DISPATCHABLEUNIT,,107
v5.3,PARTICIPANT_REGISTRATION,DUDETAIL,,109
v5.3,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,,114
v5.3,PARTICIPANT_REGISTRATION,GENUNITS,,119
v5.3,PARTICIPANT_REGISTRATION,GENUNITS_UNIT,,122
v5.3,PD7DAY,PD7DAY_CASESOLUTION,,210
v5.3,PD7DAY,PD7DAY_CONSTRAINTSOLUTION,,211
v5.3,PD7DAY,PD7DAY_INTERCONNECTORSOLUTION,,213
v5.3,PD7DAY,PD7DAY_MARKET_SUMMARY,,216
v5.3,PD7DAY,PD7DAY_PRICESOLUTION,,217
v5.3,PDPASA,PDPASA_REGIONSOLUTION,,200
v5.3,PRE_DISPATCH,PREDISPATCHLOAD,,128
v5.3,PRE_DISPATCH,PREDISPATCHREGIONSUM,,135
v5.3,SETTLEMENT_CONFIG,ANCILLARY_RECOVERY_SPLIT,,149
v5.3,SETTLEMENT_CONFIG,MARKETFEE,,151
v5.3,SETTLEMENT_DATA,SETFCASREGIONRECOVERY,,180
v5.3,SETTLEMENT_DATA,SETINTRAREGIONRESIDUES,,183
v5.3,SETTLEMENT_DATA,SETMARKETFEES,,185
v5.3,SETTLEMENT_DATA,SET_ENERGY_GENSET_DETAIL,,156
v5.3,SETTLEMENT_DATA,SET_ENERGY_REGION_SUMMARY,,159
v5.3,SETTLEMENT_DATA,SET_ENERGY_TRANSACTIONS,,161
v5.3,SETTLEMENT_DATA,SET_FCAS_RECOVERY,,164
v5.3,SETTLEMENT_DATA,SET_NMAS_RECOVERY,,172
v5.3,SETTLEMENT_DATA,SET_RECOVERY_ENERGY,,176
v5.3,STPASA_SOLUTION,STPASA_REGIONSOLUTION,,190
v5.4,DEMAND_FORECASTS,INTERMITTENT_GEN_SCADA,Private & Public,9
v5.4,DISPATCH,DISPATCH_FCAS_REQ_CONSTRAINT,Public,13
v5.4,DISPATCH,DISPATCH_FCAS_REQ_RUN,Public,16
v5.4,DISPATCH,DISPATCH_UNIT_SCADA,Public,17
v5.4,FPP,FPP_CONSTRAINT_FREQ_MEASURE,Public,48
v5.4,FPP,FPP_CONTRIBUTION_FACTOR,Private & Public,51
v5.4,FPP,FPP_EST_COST,Private,55
v5.4,FPP,FPP_EST_PERF_COST_RATE,Public,58
v5.4,FPP,FPP_EST_RESIDUAL_COST_RATE,Public,61
v5.4,FPP,FPP_FCAS_SUMMARY,Public,64
v5.4,FPP,FPP_FORECAST_DEFAULT_CF,Public,67
v5.4,FPP,FPP_FORECAST_RESIDUAL_DCF,Public,71
v5.4,FPP,FPP_HIST_PERFORMANCE,Public,74
v5.4,FPP,FPP_P5_FWD_EST_COST,Private,78
v5.4,FPP,FPP_P5_FWD_EST_RESIDUALRATE,Public,81
v5.4,FPP,FPP_PD_FWD_EST_COST,Private,83
v5.4,FPP,FPP_PD_FWD_EST_RESIDUALRATE,Public,86
v5.4,FPP,FPP_PERFORMANCE,Private & Public,89
v5.4,FPP,FPP_RCR,Public,92
v5.4,FPP,FPP_REGION_FREQ_MEASURE,Public,94
v5.4,FPP,FPP_RESIDUAL_CF,Public,96
v5.4,FPP,FPP_RESIDUAL_PERFORMANCE,Public,99
v5.4,FPP,FPP_RUN,Public,101
v5.4,FPP,FPP_UNIT_MW,Private & Public,103
v5.4,FPP,FPP_USAGE,Public,105
v5.4,P5MIN,P5MIN_FCAS_REQ_CONSTRAINT,Public,21
v5.4,P5MIN,P5MIN_FCAS_REQ_RUN,Public,24
v5.4,PARTICIPANT_REGISTRATION,DUDETAIL,Public,28
v5.4,PARTICIPANT_REGISTRATION,GENUNITS_UNIT,Public,33
v5.4,PRE_DISPATCH,PD_FCAS_REQ_CONSTRAINT,Public,39
v5.4,PRE_DISPATCH,PD_FCAS_REQ_RUN,Public,42
v5.5,ANCILLARY_SERVICES,CONTRACTLOADSHED,Private,7
v5.5,ANCILLARY_SERVICES,CONTRACTREACTIVEPOWER,Private,11
v5.5,ASOFFER,OFFERLSHEDDATA,Private,17
v5.5,ASOFFER,OFFERRPOWERDATA,Private,19
v5.5,BIDS,BIDOFFERPERIOD,Private & Public,23
v5.5,BIDS,MNSP_BIDOFFERPERIOD,Private & Public,27
v5.5,BILLING_RUN,BILLINGASRECOVERY,Private,50
v5.5,BILLING_RUN,BILLING_FCAS_REG_AMT,Private,34
v5.5,BILLING_RUN,BILLING_FCAS_REG_RESIDAMT,Private,36
v5.5,BILLING_RUN,BILLING_FPP,Private,39
v5.5,BILLING_RUN,BILLING_NMAS_TST_PAYMENTS,Private,41
v5.5,BILLING_RUN,BILLING_NMAS_TST_RECOVERY,Private,43
v5.5,BILLING_RUN,BILLING_NMAS_TST_RECVRY_TRK,Public,48
v5.5,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_DATA,Private,66
v5.5,DEMAND_FORECASTS,ROOFTOP_PV_FORECAST,Public,68
v5.5,DISPATCH,DISPATCHLOAD,Private & Public,73
v5.5,DISPATCH,DISPATCHREGIONSUM,Public,80
v5.5,FPP,FPP_CONTRIBUTION_FACTOR,Private & Public,96
v5.5,FPP,FPP_FCAS_SUMMARY,Public,100
v5.5,FPP,FPP_FORECAST_DEFAULT_CF,Public,103
v5.5,FPP,FPP_HIST_REGION_PERFORMANCE,Public,107
v5.5,FPP,FPP_P5_FWD_EST_COST,Private,111
v5.5,FPP,FPP_P5_FWD_EST_RESIDUALRATE,Public,114
v5.5,FPP,FPP_PD_FWD_EST_COST,Private,117
v5.5,FPP,FPP_PD_FWD_EST_RESIDUALRATE,Public,120
v5.5,FPP,FPP_REGION_FREQ_MEASURE,Public,123
v5.5,FPP,FPP_RUN,Public,125
v5.5,FPP,FPP_UNIT_MW,Private & Public,127
v5.5,FPP,FPP_USAGE,Public,129
v5.5,P5MIN,P5MIN_REGIONSOLUTION,Public,133
v5.5,P5MIN,P5MIN_UNITSOLUTION,Private,144
v5.5,PD7DAY,PD7DAY_PRICESOLUTION,Public,151
v5.5,PDPASA,PDPASA_DUIDAVAILABILITY,Public,156
v5.5,PDPASA,PDPASA_REGIONSOLUTION,Public,158
v5.5,PRE_DISPATCH,PREDISPATCHLOAD,Private & Public,170
v5.5,PRE_DISPATCH,PREDISPATCHREGIONSUM,Public,177
v5.5,SETTLEMENT_DATA,DAYTRACK,Public,195
v5.5,SETTLEMENT_DATA,SETLSHEDPAYMENT,Private,238
v5.5,SETTLEMENT_DATA,SETRPOWERPAYMENT,Private,241
v5.5,SETTLEMENT_DATA,SET_FCAS_CLAWBACK_REQ,Public,197
v5.5,SETTLEMENT_DATA,SET_FCAS_CLAWBACK_RUN_TRK,Public,200
v5.5,SETTLEMENT_DATA,SET_FCAS_CLAWBACK_UNITSOLN,Private,202
v5.5,SETTLEMENT_DATA,SET_FCAS_RECOVERY,Private,205
v5.5,SETTLEMENT_DATA,SET_FCAS_REGULATION_TRK,Public,225
v5.5,SETTLEMENT_DATA,SET_FCAS_REG_AMOUNT,Private,215
v5.5,SETTLEMENT_DATA,SET_FCAS_REG_DEF_AMT,Private,217
v5.5,SETTLEMENT_DATA,SET_FCAS_REG_DEF_RESIDAMT,Private,219
v5.5,SETTLEMENT_DATA,SET_FCAS_REG_RESIDAMT,Private,222
v5.5,SETTLEMENT_DATA,SET_FPP,Private,229
v5.5,SETTLEMENT_DATA,SET_NMAS_RECOVERY,Private,231
v5.5,SETTLEMENT_DATA,SET_NMAS_RECOVERY_RBF,Public,236
v5.5,STPASA_SOLUTION,STPASA_DUIDAVAILABILITY,Public,246
v5.5,STPASA_SOLUTION,STPASA_REGIONSOLUTION,Public,248
v5.6,,BIDPEROFFER_D,Public,7
v5.6,BILLING_RUN,BILLING_NMAS_MANUAL_PAYMENT,Private,13
v5.6,BILLING_RUN,BILLING_NMAS_MANUAL_RECOVERY,Private,15
v5.6,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST,Private,23
v5.6,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_DATA,Private,25
v5.6,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_P5_PRED,Private & Public,27
v5.6,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_P5_RUN,Private & Public,29
v5.6,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_PRED,Private & Public,31
v5.6,DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_RUN,Private & Public,33
v5.6,DEMAND_FORECASTS,INTERMITTENT_P5_PRED,Private,35
v5.6,DEMAND_FORECASTS,INTERMITTENT_P5_RUN,Private,37
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_ACTUAL,Public,39
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_ACTUAL_PRED,Public,41
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_ACTUAL_RUN,Public,43
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_FCST_P5_PRED,Public,46
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_FCST_P5_RUN,Public,48
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_FCST_PRED,Public,50
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_FCST_RUN,Public,52
v5.6,DEMAND_FORECASTS,ROOFTOP_PV_FORECAST,Public,54
v5.6,DISPATCH,DISPATCHLOAD,Private & Public,60
v5.6,DISPATCH,DISPATCH_ROOFTOP_PV_FCST_TRK,Public,58
v5.6,MARKET_CONFIG,AREA,Public,69
v5.6,MARKET_CONFIG,REGION_AREA,Public,71
v5.6,P5MIN,P5MIN_INTERMITTENT_FCST_TRK,Private & Public,75
v5.6,P5MIN,P5MIN_ROOFTOP_PV_FCST_TRK,Public,77
v5.6,P5MIN,P5MIN_UNITSOLUTION,Private,79
v5.6,PDPASA,PDPASA_CONSTRAINTSOLUTION,Public,132
v5.6,PDPASA,PDPASA_DUIDAVAILABILITY,Public,134
v5.6,PDPASA,PDPASA_INTERCONNECTORSOLN,Public,136
v5.6,PDPASA,PDPASA_REGIONSOLUTION,Public,139
v5.6,PRE_DISPATCH,PD_INTERMITTENT_FCST_TRK,Private & Public,88
v5.6,PRE_DISPATCH,PD_ROOFTOP_PV_FCST_TRK,Public,90
v5.6,PRE_DISPATCH,PREDISPATCHLOAD,Private & Public,92
v5.6,SETTLEMENT_DATA,DAYTRACK,Public,101
v5.6,SETTLEMENT_DATA,SET_FCAS_REG_DEF_RESIDAMT,Private,103
v5.6,SETTLEMENT_DATA,SET_FCAS_REG_RESIDAMT,Private,106
v5.6,SETTLEMENT_DATA,SET_NMAS_MANUAL_PAYMENT,Private,109
v5.6,STPASA_SOLUTION,STPASA_CONSTRAINTSOLUTION,Public,113
v5.6,STPASA_SOLUTION,STPASA_DUIDAVAILABILITY,Public,116
v5.6,STPASA_SOLUTION,STPASA_INTERCONNECTORSOLN,Public,118
v5.6,STPASA_SOLUTION,STPASA_REGIONSOLUTION,Public,121
v5.6,SYSTEM_SECURITY_MANAGEMENT,SSM_CONTRACT_UNIT_AVAIL,Private,149
v5.6,SYSTEM_SECURITY_MANAGEMENT,SSM_ENABLEMENT_COSTS,Public,151
v5.6,SYSTEM_SECURITY_MANAGEMENT,SSM_ENABLEMENT_PERIOD,Public,152
v5.6,SYSTEM_SECURITY_MANAGEMENT,SSM_INSTRUCTION,Private,154
v5.6,SYSTEM_SECURITY_MANAGEMENT,SSM_SCHEDULE,Private,156
v5.6,SYSTEM_SECURITY_MANAGEMENT,SSM_SCHEDULED_AVAILABILITY,Private,158
